citation_key,title,year,architectural_family,primary_estimand,secondary_estimands,source_url,audit_stratum,claim_observability,claim_selection,claim_exposure,claim_fusion,claim_faithfulness,ev_chain_recall,ev_budget_match,ev_membership,ev_ordering,ev_stage_metric,ev_fusion_ablation,ev_deletion,ev_conflict,ev_counterfactual,ev_cost,adjudication_note
qiu2019dfgn,Dynamically Fused Graph Network for Multi-hop Reasoning,2019,graph_kg,fusion,observability,https://aclanthology.org/P19-1617/,existing_seed,secondary,not_coded,not_coded,primary,not_coded,partial,unclear,unclear,unclear,yes,yes,unclear,unclear,unclear,partial,Graph construction and reader fusion are coupled; retained as a fusion record.
asai2020pathretriever,Learning to Retrieve Reasoning Paths over Wikipedia Graph for Question Answering,2020,retrieval,observability,selection_preservation,https://openreview.net/forum?id=SJgVHkrYDH,existing_seed,primary,secondary,not_coded,not_coded,not_coded,yes,partial,partial,unclear,yes,unclear,unclear,unclear,unclear,partial,Sequential path retrieval directly targets evidence observability.
feng2020mhgrn,Scalable Multi-Hop Relational Reasoning for Knowledge-Aware Question Answering,2020,graph_kg,fusion,observability,https://aclanthology.org/2020.emnlp-main.99/,existing_seed,secondary,not_coded,not_coded,primary,not_coded,partial,unclear,unclear,unclear,yes,yes,unclear,unclear,unclear,partial,Subgraph extraction limits the fusion estimate but graph-reasoning ablations support inclusion.
fang2020hgn,Hierarchical Graph Network for Multi-hop Question Answering,2020,graph_kg,fusion,observability,https://aclanthology.org/2020.emnlp-main.710/,existing_seed,secondary,not_coded,not_coded,primary,not_coded,partial,unclear,partial,unclear,yes,yes,unclear,unclear,unclear,partial,Hierarchical evidence propagation is the central fusion intervention.
xiong2021mdr,Answering Complex Open-Domain Questions with Multi-Hop Dense Retrieval,2021,retrieval,observability,selection_preservation,https://openreview.net/forum?id=EMHoBG0avc1,existing_seed,primary,secondary,not_coded,not_coded,not_coded,yes,partial,partial,unclear,yes,unclear,unclear,unclear,unclear,partial,Dense multi-hop retrieval reports chain-level acquisition evidence.
khattab2021baleen,Baleen: Robust Multi-Hop Reasoning at Scale via Condensed Retrieval,2021,retrieval,observability,selection_preservation;exposure,https://openreview.net/forum?id=Ghk0AJ8XtVx,existing_seed,primary,secondary,secondary,not_coded,not_coded,yes,yes,partial,unclear,yes,unclear,unclear,unclear,unclear,yes,Condensation changes later queries as well as the context budget; observability is the earliest active target.
fu2021rerc,Decomposing Complex Questions Makes Multi-Hop QA Easier and More Interpretable,2021,decomposition,fusion,observability,https://aclanthology.org/2021.findings-emnlp.17/,existing_seed,secondary,not_coded,not_coded,primary,not_coded,partial,unclear,unclear,unclear,yes,yes,unclear,unclear,unclear,partial,Relation extraction and comparison stages support a fusion interpretation.
yao2023react,ReAct: Synergizing Reasoning and Acting in Language Models,2023,agentic,observability,fusion;faithfulness;joint,https://arxiv.org/abs/2210.03629,existing_seed,primary,not_coded,not_coded,secondary,secondary,partial,partial,unclear,unclear,partial,partial,unclear,unclear,unclear,yes,Retrieval actions are the earliest intervention; trajectories alone do not prove causal faithfulness.
trivedi2023ircot,Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions,2023,llm_reasoning,observability,selection_preservation;fusion,https://aclanthology.org/2023.acl-long.557/,existing_seed,primary,secondary,not_coded,secondary,not_coded,yes,partial,partial,unclear,yes,partial,unclear,unclear,unclear,partial,Reasoning-conditioned retrieval expands the observable chain.
jeong2024adaptiverag,Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity,2024,agentic,observability,selection_preservation;joint,https://arxiv.org/abs/2403.14403,existing_seed,primary,secondary,not_coded,not_coded,not_coded,partial,yes,unclear,unclear,yes,unclear,unclear,unclear,unclear,yes,The retrieve-or-iterate decision is coded at the earliest acquisition stage.
zhang2024beamretrieval,End-to-End Beam Retrieval for Multi-Hop Question Answering,2024,retrieval,observability,selection_preservation,https://aclanthology.org/2024.naacl-long.96/,existing_seed,primary,secondary,not_coded,not_coded,not_coded,yes,partial,partial,unclear,yes,unclear,unclear,unclear,unclear,yes,Beam width affects both chain recall and compute and is recorded as a confounder.
gutierrez2024hipporag,HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models,2024,graph_kg,observability,selection_preservation,https://arxiv.org/abs/2405.14831,existing_seed,primary,secondary,not_coded,not_coded,not_coded,yes,partial,partial,unclear,yes,unclear,unclear,unclear,unclear,yes,Graph-memory retrieval is evaluated on explicit multi-hop benchmarks.
zhuang2024efficientrag,EfficientRAG: Efficient Retriever for Multi-Hop Question Answering,2024,decomposition,observability,selection_preservation,https://aclanthology.org/2024.emnlp-main.199/,existing_seed,primary,secondary,not_coded,not_coded,not_coded,yes,yes,partial,unclear,yes,unclear,unclear,unclear,unclear,yes,Decomposition and pruning trade retrieval cost against evidence recall.
sun2023rankgpt,Is ChatGPT Good at Search? Investigating Large Language Models as Re-Ranking Agents,2023,retrieval,selection_preservation,exposure,https://aclanthology.org/2023.emnlp-main.923/,targeted_selection,not_coded,primary,secondary,not_coded,not_coded,unclear,partial,yes,partial,yes,unclear,unclear,unclear,unclear,yes,Listwise reranking is included as a foundational selector; order and membership remain partly coupled.
pradeep2023rankzephyr,RankZephyr: Effective and Robust Zero-Shot Listwise Reranking is a Breeze!,2023,retrieval,selection_preservation,exposure,https://arxiv.org/abs/2312.02724,targeted_selection,not_coded,primary,secondary,not_coded,not_coded,unclear,yes,yes,partial,yes,unclear,unclear,unclear,unclear,yes,Initial-order and candidate-count robustness strengthen its selector evidence.
ma2024rankllama,Fine-Tuning LLaMA for Multi-Stage Text Retrieval,2024,retrieval,selection_preservation,observability,https://doi.org/10.1145/3626772.3657951,targeted_selection,secondary,primary,not_coded,not_coded,not_coded,unclear,partial,yes,unclear,yes,unclear,unclear,unclear,unclear,yes,The audit codes the reranking component rather than the paired retriever.
xu2023recomp,RECOMP: Improving Retrieval-Augmented LMs with Context Compression and Selective Augmentation,2024,retrieval,selection_preservation,exposure,https://openreview.net/forum?id=mlJLVigNHp,targeted_selection,not_coded,primary,secondary,not_coded,not_coded,unclear,yes,yes,partial,yes,unclear,unclear,unclear,unclear,yes,Compression changes both selected content and wording; membership evidence is therefore not fully isolated.
pan2024longllmlingua2,LLMLingua-2: Data Distillation for Efficient and Faithful Task-Agnostic Prompt Compression,2024,retrieval,selection_preservation,exposure,https://aclanthology.org/2024.findings-acl.57/,targeted_selection,not_coded,primary,secondary,not_coded,not_coded,unclear,yes,yes,partial,yes,unclear,unclear,unclear,unclear,yes,Token selection is evaluated at controlled compression ratios.
yu2024rankrag,RankRAG: Unifying Context Ranking with Retrieval-Augmented Generation in LLMs,2024,retrieval,selection_preservation,fusion,https://papers.nips.cc/paper_files/paper/2024/hash/db93ccb6cf392f352570dd5af0a223d3-Abstract-Conference.html,targeted_selection,not_coded,primary,not_coded,secondary,not_coded,unclear,partial,yes,unclear,yes,partial,unclear,unclear,unclear,partial,Shared training couples selector and generator improvements.
lee2025setr,Shifting from Ranking to Set Selection for Retrieval Augmented Generation,2025,retrieval,selection_preservation,observability;fusion,https://aclanthology.org/2025.acl-long.861/,targeted_selection,secondary,primary,not_coded,secondary,not_coded,yes,yes,yes,partial,yes,unclear,unclear,unclear,unclear,yes,Set-wise complementary selection directly targets complete support-set preservation.
xin2025rcps,Aligning Retrieval with Reader Needs: Reader-Centered Passage Selection for Open-Domain Question Answering,2025,retrieval,selection_preservation,exposure,https://aclanthology.org/2025.coling-main.67/,targeted_selection,not_coded,primary,secondary,not_coded,not_coded,unclear,partial,yes,partial,yes,unclear,unclear,partial,unclear,partial,Reader-derived clusters couple passage choice to reader predictions.
yang2023prca,PRCA: Fitting Black-Box Large Language Models for Retrieval Question Answering via Pluggable Reward-Driven Contextual Adapter,2023,retrieval,exposure,selection_preservation,https://aclanthology.org/2023.emnlp-main.326/,targeted_exposure,not_coded,secondary,primary,not_coded,not_coded,unclear,partial,partial,partial,yes,partial,unclear,unclear,unclear,yes,The adapter refines what the frozen reader sees and is therefore coded as exposure.
tang2024found,Found in the Middle: Calibrating Positional Attention Bias Improves Long Context Utilization,2024,analysis,exposure,faithfulness,https://aclanthology.org/2024.findings-acl.890/,targeted_exposure,not_coded,not_coded,primary,not_coded,secondary,unclear,yes,yes,yes,yes,partial,unclear,unclear,unclear,partial,Positional calibration directly targets access to relevant middle context.
jin2025longcontextrag,Long-Context LLMs Meet RAG: Overcoming Challenges for Long Inputs in RAG,2025,analysis,exposure,selection_preservation,https://openreview.net/forum?id=oU3tpaR8fm,targeted_exposure,not_coded,secondary,primary,not_coded,not_coded,unclear,yes,yes,yes,yes,partial,unclear,unclear,unclear,yes,Fixed-membership ordering experiments support a cleaner exposure estimate.
cheng2024xrag,xRAG: Extreme Context Compression for Retrieval-Augmented Generation with One Token,2024,fusion_reader,exposure,fusion,https://papers.nips.cc/paper_files/paper/2024/hash/c5cf13bfd3762821ef7607e63ee90075-Abstract-Conference.html,targeted_exposure,not_coded,not_coded,primary,secondary,not_coded,unclear,yes,partial,unclear,yes,partial,unclear,unclear,unclear,yes,One-token context projection is an extreme exposure intervention under fixed retrieval.
liu2024lostmiddle,Lost in the Middle: How Language Models Use Long Contexts,2024,analysis,exposure,fusion,https://aclanthology.org/2024.tacl-1.9/,targeted_exposure,not_coded,not_coded,primary,secondary,not_coded,unclear,yes,yes,yes,yes,partial,unclear,unclear,unclear,partial,Relevant information is relocated while content is held fixed.
yu2022kgfid,KG-FiD: Infusing Knowledge Graph in Fusion-in-Decoder for Open-Domain Question Answering,2022,fusion_reader,fusion,selection_preservation,https://aclanthology.org/2022.acl-long.340/,targeted_fusion,not_coded,secondary,not_coded,primary,not_coded,partial,partial,partial,unclear,yes,yes,unclear,unclear,unclear,partial,Graph-guided filtering remains a selection confounder in the fusion estimate.
mavromatis2022rearev,ReaRev: Adaptive Reasoning for Question Answering over Knowledge Graphs,2022,graph_kg,fusion,observability,https://aclanthology.org/2022.findings-emnlp.181/,targeted_fusion,secondary,not_coded,not_coded,primary,not_coded,partial,unclear,unclear,unclear,yes,yes,unclear,unclear,unclear,partial,Adaptive instruction execution provides a direct graph-fusion intervention.
he2021nsm,Improving Multi-hop Knowledge Base Question Answering by Learning Intermediate Supervision Signals,2021,graph_kg,fusion,observability,https://doi.org/10.1145/3437963.3441753,targeted_fusion,secondary,not_coded,not_coded,primary,not_coded,partial,unclear,unclear,unclear,yes,yes,unclear,unclear,unclear,partial,Intermediate entity supervision supports stage-aware fusion analysis.
zhang2022greaselm,GreaseLM: Graph Reasoning Enhanced Language Models for Question Answering,2022,graph_kg,fusion,observability,https://openreview.net/forum?id=41c9ZigR7mA,targeted_fusion,secondary,not_coded,not_coded,primary,not_coded,partial,unclear,unclear,unclear,yes,yes,unclear,unclear,unclear,partial,Graph-language interaction ablations support the fusion code.
gao2023rarr,"RARR: Researching and Revising What Language Models Say, Using Language Models",2023,agentic,faithfulness,observability,https://aclanthology.org/2023.acl-long.910/,targeted_faithfulness,secondary,not_coded,not_coded,not_coded,primary,unclear,partial,partial,unclear,yes,unclear,partial,partial,unclear,yes,Attribution and preservation metrics are positive evidence but do not isolate causal deletion.
