library_id,title,authors,year,venue,arxiv_id,source_url,library_categories,research_tracks,source_origin,priority,notes,review_state
lib_af875a94e1d4,Retrieval-Reasoning Processes for Multi-hop QA (Four-Axis),Ji et al.,2026,arXiv,2601.00536,https://arxiv.org/abs/2601.00536,MH survey,Surveys,原有;总表 All Papers,-,,imported
lib_24797468c2ef,BRIDGE: Multi-hop in Long Multimodal Docs,Wu et al.,2026,arXiv,2603.07931,https://arxiv.org/abs/2603.07931,MH Benchmark,Benchmarks,总表 All Papers;新补,中,,imported
lib_3c3f329511d7,ZeroSearch: Incentivize Search without Searching,Sun et al.,2025,arXiv,2505.04588,https://arxiv.org/abs/2505.04588,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_51496bf997cb,WikiMixQA: Multimodal Benchmark,Foroutan et al.,2025,arXiv,,,MH Benchmark,Benchmarks,原有;总表 All Papers,-,,imported
lib_5ad0b2267a5a,VisDoM: Multi-Document QA with Visually Rich Elements,Suri et al.,2025,arXiv,,,MH Benchmark,Benchmarks,原有;总表 All Papers,-,,imported
lib_fb224005e805,Towards Concise and Adaptive Thinking in LRMs,Zhu & Li,2025,arXiv,,,MH survey,Surveys,原有;总表 All Papers,-,,imported
lib_12e2330cfbff,Towards Agentic RAG with Deep Reasoning,Li et al.,2025,arXiv,2507.09477,https://arxiv.org/abs/2507.09477,MH survey,Surveys,原有;总表 All Papers,-,,imported
lib_eaec06547d38,T-GRAG: Dynamic GraphRAG for Temporal Conflicts,Jiang et al.,2025,arXiv,2508.01680,https://arxiv.org/abs/2508.01680,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,中,,imported
lib_c4e5b1ec9e47,Search-R1: Training LLMs to Reason + Search via RL,Jin et al.,2025,arXiv,2503.09516,https://arxiv.org/abs/2503.09516,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_c37824babdc5,Search-o1: Agentic Search-Enhanced LRM,Li et al.,2025,arXiv,2501.05366,https://arxiv.org/abs/2501.05366,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_02e2c4e52397,ReSearch: Learning to Reason with Search via RL,Chen et al.,2025,arXiv,2503.19470,https://arxiv.org/abs/2503.19470,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_3cca42b5025e,Reasoning RAG via System 1 or System 2,Liang et al.,2025,arXiv,2506.10408,https://arxiv.org/abs/2506.10408,MH survey,Surveys,原有;总表 All Papers,-,,imported
