citation_key,title,year,venue,architectural_family,primary_estimand,secondary_estimands,evidence_source,pipeline_stage,tasks,datasets,source_url,code_url,status,notes
sun2018graftnet,GRAFT-Net: Graph Retrieval-Augmented Network for Textual and Knowledge Base Question Answering,2018,EMNLP,graph_kg,observability,fusion,hybrid,end_to_end,multi-hop QA,WikiMovies;WebQuestionsSP,https://aclanthology.org/D18-1455/,,seeded,Graph expansion and graph-based evidence composition.
sun2019pullnet,PullNet: Open Domain Question Answering with Iterative Retrieval on Knowledge Bases and Text,2019,EMNLP-IJCNLP,graph_kg,observability,selection_preservation,hybrid,retrieve,open-domain multi-hop QA,MetaQA;WebQuestionsSP,https://aclanthology.org/D19-1242/,,seeded,Iteratively expands a question-specific graph.
min2019decomprc,Multi-hop Reading Comprehension through Question Decomposition and Rescoring,2019,ACL,decomposition,selection_preservation,fusion,text,end_to_end,multi-hop reading comprehension,HotpotQA,https://aclanthology.org/P19-1613/,,reviewed,Decomposes compositional questions into simpler subquestions and globally rescores decompositions.
qiu2019dfgn,Dynamically Fused Graph Network for Multi-hop Reasoning,2019,ACL,graph_kg,fusion,observability,text,end_to_end,multi-hop QA,HotpotQA,https://aclanthology.org/P19-1617/,,reviewed,Builds and traverses an entity graph over scattered text evidence.
asai2020pathretriever,Learning to Retrieve Reasoning Paths over Wikipedia Graph for Question Answering,2020,ICLR,retrieval,observability,selection_preservation,text,retrieve,open-domain multi-hop QA,HotpotQA;SQuAD Open;Natural Questions Open,https://openreview.net/forum?id=SJgVHkrYDH,https://github.com/AkariAsai/learning_to_retrieve_reasoning_paths,reviewed,Sequentially retrieves evidence paragraphs conditioned on earlier hops.
perez2020onus,Unsupervised Question Decomposition for Question Answering,2020,EMNLP,decomposition,selection_preservation,fusion,text,end_to_end,multi-hop QA,HotpotQA,https://aclanthology.org/2020.emnlp-main.713/,,reviewed,Learns one-to-many decomposition without manually labeled decompositions and recomposes subanswers.
feng2020mhgrn,Scalable Multi-Hop Relational Reasoning for Knowledge-Aware Question Answering,2020,EMNLP,graph_kg,fusion,observability,knowledge_graph,end_to_end,commonsense multi-hop QA,CommonsenseQA;OpenBookQA,https://aclanthology.org/2020.emnlp-main.99/,https://github.com/michiyasunaga/MHGRN,reviewed,Performs multi-hop relational reasoning over extracted knowledge-graph subgraphs.
fang2020hgn,Hierarchical Graph Network for Multi-hop Question Answering,2020,EMNLP,graph_kg,fusion,observability,text,end_to_end,multi-hop QA,HotpotQA,https://aclanthology.org/2020.emnlp-main.710/,https://github.com/yuwfan/HGN,reviewed,Represents question paragraphs sentences and entities at multiple graph granularities.
izacard2021fid,Leveraging Passage Retrieval with Generative Models for Open Domain Question Answering,2021,EACL,fusion_reader,fusion,exposure;selection_preservation,text,read_fuse,open-domain QA,NQ;TriviaQA;SQuAD;HotpotQA,https://arxiv.org/abs/2007.01282,https://github.com/facebookresearch/FiD,reviewed,Fusion-in-decoder reader over retrieved passages.
xiong2021mdr,Answering Complex Open-Domain Questions with Multi-Hop Dense Retrieval,2021,ICLR,retrieval,observability,selection_preservation,text,retrieve,open-domain multi-hop QA;multi-hop fact verification,HotpotQA;multi-evidence FEVER,https://openreview.net/forum?id=EMHoBG0avc1,https://github.com/facebookresearch/multihop_dense_retrieval,reviewed,Dense retriever conditions each hop on previously retrieved evidence without requiring corpus-specific links.
